Service,Category,Subcategory,"Incident Type"
"Accounts & Authentication","AD Authentication","Cannot Connect to LDAP",Incident
"Accounts & Authentication","AD Authentication","New LDAPS Integration","Service Request"
"Accounts & Authentication","AD Authentication","Not Listed",Incident
"Accounts & Authentication","Alumni Account","Cannot Access Alumni Account",Incident
"Accounts & Authentication","Alumni Account","New Alumni Email Account","Service Request"
"Accounts & Authentication","Alumni Account","Not Listed",Incident
"Accounts & Authentication","Alumni Account","Password Reset","Service Request"
"Accounts & Authentication","Exception Account","Cannot Access Exception Account",Incident
"Accounts & Authentication","Exception Account","Modify Exception Account","Service Request"
"Accounts & Authentication","Exception Account","New Exception Account","Service Request"
"Accounts & Authentication","Exception Account","Not Listed",Incident
"Accounts & Authentication","Exception Account","Remove Exception Account","Service Request"
"Accounts & Authentication","Exception Account","Renew Exception Account","Service Request"
"Accounts & Authentication","Faculty Staff Account","Cannot Access Faculty Staff Account",Incident
"Accounts & Authentication","Faculty Staff Account","Information Update","Service Request"
"Accounts & Authentication","Faculty Staff Account","Merge Accounts","Service Request"
"Accounts & Authentication","Faculty Staff Account","Not Listed","Service Request"
"Accounts & Authentication","Faculty Staff Account","Password Reset","Service Request"
"Accounts & Authentication","IT System & Service Access","Elevated IT Account Request","Service Request"
"Accounts & Authentication","IT System & Service Access","Modify Elevated Account","Service Request"
"Accounts & Authentication","IT System & Service Access","Modify OUNetID Access","Service Request"
"Accounts & Authentication","IT System & Service Access","Not Listed",Incident
"Accounts & Authentication","IT System & Service Access","Remove Elevated Account","Service Request"
"Accounts & Authentication","Multi-Factor Authentication","Cannot Connect to DUO",Incident
"Accounts & Authentication","Multi-Factor Authentication","New DUO Integration","Service Request"
"Accounts & Authentication","Multi-Factor Authentication","Not Listed",Incident
"Accounts & Authentication","Organization Account","Modify Organization Account","Service Request"
"Accounts & Authentication","Organization Account","New Organization Account","Service Request"
"Accounts & Authentication","Organization Account","Not Listed",Incident
"Accounts & Authentication","Organization Account","Remove Organization Account","Service Request"
"Accounts & Authentication","Organization Account","Renew Organization Account","Service Request"
"Accounts & Authentication","Single Sign On","Cannot Connect to PING",Incident
"Accounts & Authentication","Single Sign On","Cannot connect to Shibboleth",Incident
"Accounts & Authentication","Single Sign On","New PING Integration","Service Request"
"Accounts & Authentication","Single Sign On","Not Listed",Incident
"Accounts & Authentication","ST2 Action","HR Lock",Incident
"Accounts & Authentication","ST2 Action","Security Lock",Incident
"Accounts & Authentication","ST2 Action","Security Lock Customer Notification",Incident
"Accounts & Authentication","ST2 Action","ST2 Actions",Incident
"Accounts & Authentication","Student Account","Cannot Access Student Account",Incident
"Accounts & Authentication","Student Account","Information Update","Service Request"
"Accounts & Authentication","Student Account","Merge Account","Service Request"
"Accounts & Authentication","Student Account","Not Listed",Incident
"Accounts & Authentication","Student Account","Password Reset","Service Request"
"Device Support","End of Life","End of Lease Pick-Up","Service Request"
"Device Support","End of Life","Not Listed",Incident
"Device Support","End of Life","Surplus Technology Pick-Up","Service Request"
"Device Support","Hardware Check-In","Boot Camp Installation","Service Request"
"Device Support","Hardware Check-In","Erase and Install OS","Service Request"
"Device Support","Hardware Check-In","Hardware Payment Error","Service Request"
"Device Support","Hardware Check-In","Hardware Repair",Incident
