Service,Category,Subcategory
"Accounts/List Management","Non Case",Duplicate
"Accounts/List Management","Non Case","ST2 Action"
"Accounts/List Management","Service Access","Account Escalation"
"Accounts/List Management","Service Access","Account Unlock"
"Accounts/List Management","Service Access","Add/Modify/Remove Access"
"Accounts/List Management","Service Access","Justin Test"
"Accounts/List Management","Service Access","Security Account Block"
"Accounts/List Management","Service Documentation and Assistance","Provided Assistance / Documentation"
"Accounts/List Management","Service Interruptions","Scheduled Maintenance"
"Accounts/List Management","Service Interruptions","Unscheduled Interruption"
"Accounts/List Management","Service Requests","Modify Service - AD/DL/List"
"Accounts/List Management","Service Requests","Modify Service - Exc Account"
"Accounts/List Management","Service Requests","Modify Service - Org Account"
"Accounts/List Management","Service Requests","Remove Service  - AD/DL/List"
"Accounts/List Management","Service Requests","Remove Service  - Exc Account"
"Accounts/List Management","Service Requests","Remove Service  - Org Account"
"Accounts/List Management","Service Requests","Renew Service - Exc Account"
"Accounts/List Management","Service Requests","Renew Service - Org Account"
"Accounts/List Management","Service Requests","Request Service - AD/DL/List"
"Accounts/List Management","Service Requests","Request Service - Exception Account"
"Accounts/List Management","Service Requests","Request Service - Org Account"
"Accounts/List Management","Technical Support","Technical Escalation"
"Accounts/List Management","Technical Support","Technical Support"
"Accounts/List Management","Technical Support","Transfer to Resilient"
"Accounts/List Management","Technical Support","Transfer to S2"
"AskTheSooners KB","Non Case",Duplicate
"AskTheSooners KB","Service Access","Account Escalation"
"AskTheSooners KB","Service Documentation and Assistance","Billing Inquiry"
"AskTheSooners KB","Service Documentation and Assistance","Provided Assistance / Documentation"
"AskTheSooners KB","Service Interruptions","Scheduled Maintenance"
"AskTheSooners KB","Service Interruptions","Unscheduled Interruption"
"AskTheSooners KB","Service Requests","Modify Service"
"AskTheSooners KB","Service Requests","Remove Service"
"AskTheSooners KB","Service Requests","Request Service"
"AskTheSooners KB","Technical Support","Technical Escalation"
"AskTheSooners KB","Technical Support","Vendor Escalation"
Authentication,"Service Requests","Modify Service"
Authentication,"Service Requests","Remove Service"
Authentication,"Service Requests","Request Service"
"AV Design Consult","Non Case",Duplicate
"AV Design Consult","Service Documentation and Assistance","Provided Assistance / Documentation"
"AV Design Consult","Service Requests","Request Service"
"Campus Stores","Non Case",Duplicate
"Campus Stores","Service Documentation and Assistance","Billing Inquiry"
"Campus Stores","Service Documentation and Assistance","Provided Assistance / Documentation"
"Campus Stores","Service Requests","Computer Order"
"Classroom AV Support","Non Case",Duplicate
"Classroom AV Support","Service Documentation and Assistance","Billing Inquiry"
"Classroom AV Support","Service Documentation and Assistance","Provided Assistance / Documentation"
"Classroom AV Support","Service Interruptions","Scheduled Maintenance"
"Classroom AV Support","Service Interruptions","Unscheduled Interruption"
"Classroom AV Support","Service Requests","Modify Service"
"Classroom AV Support","Service Requests","Remove Service"
"Classroom AV Support","Service Requests","Request Service"
"Classroom AV Support","Technical Support","Technical Escalation"
"Classroom AV Support","Technical Support","Technical Support"
"Classroom AV Support","Technical Support","Technical Support for class in session"
"Classroom AV Support","Technical Support","Vendor Escalation"
Cognos,"Non Case",Duplicate
Cognos,"Service Access","Account Escalation"
Cognos,"Service Access","Account Unlock"
Cognos,"Service Documentation and Assistance","Provided Assistance / Documentation"
Cognos,"Service Interruptions","Scheduled Maintenance"
Cognos,"Service Interruptions","Unscheduled Interruption"
Cognos,"Service Requests","Create Report"
Cognos,"Service Requests","Modify Report"
Cognos,"Service Requests","Modify Service"
Cognos,"Service Requests","Remove Service"
Cognos,"Service Requests","Request Service"
Cognos,"Technical Support","Technical Escalation"
Cognos,"Technical Support","Technical Support"
"Collab Space Request","Non Case",Duplicate
"Collab Space Request","Service Documentation and Assistance","Provided Assistance / Documentation"
"Collab Space Request","Service Requests","Modify Service"
"Collab Space Request","Service Requests","Remove Service"
"Collab Space Request","Service Requests","Request Service"
"Data Center S2","Non Case",Duplicate
"Data Center S2","Service Access","Account Escalation"
"Data Center S2","Service Access","Account Unlock"
"Data Center S2","Service Documentation and Assistance","Billing Inquiry"
"Data Center S2","Service Documentation and Assistance","Provided Assistance / Documentation"
"Data Center S2","Service Interruptions","Scheduled Maintenance"
"Data Center S2","Service Interruptions","Unscheduled Interruption"
"Data Center S2","Service Requests","S2 Service Catalog"
"Data Center S2","Technical Support","Technical Escalation"
"Data Center S2","Technical Support","Technical Support"
"Data Center S2","Technical Support","Transfer to S2"
"Data Center S2","Technical Support","Vendor Escalation"
"Device Support","Non Case",Duplicate
"Device Support","Service Documentation and Assistance","Provided Assistance / Documentation"
"Device Support","Service Requests","Modify Service"
"Device Support","Service Requests","Remove Service"
"Device Support","Service Requests","Request Service"
"Device Support","Technical Support","Express Check-In"
"Device Support","Technical Support","Hardware Check-In"
"Device Support","Technical Support","SDS On-Site"
"Device Support","Technical Support","Security Device Block"
"Device Support","Technical Support","Strategy On-site"
"Device Support","Technical Support","Technical Support"
"Device Support","Technical Support","Vendor Escalation"
"Device Support","Technical Support",Walk-In
"Digital Signage","Non Case",Duplicate
"Digital Signage","Service Access","Account Escalation"
"Digital Signage","Service Documentation and Assistance","Billing Inquiry"
"Digital Signage","Service Documentation and Assistance","Provided Assistance / Documentation"
"Digital Signage","Service Interruptions","Scheduled Maintenance"
"Digital Signage","Service Interruptions","Unscheduled Interruption"
"Digital Signage","Service Requests","Modify Service"
"Digital Signage","Service Requests","Remove Service"
"Digital Signage","Service Requests","Request Service"
"Digital Signage","Technical Support","Technical Escalation"
"Digital Signage","Technical Support","Technical Support"
Dropbox,"Service Access","Account Escalation"
Dropbox,"Service Documentation and Assistance","Provided Documentation"
Dropbox,"Service Requests","Modify Service"
Dropbox,"Service Requests","Remove Service"
Dropbox,"Service Requests","Request Service"
Dropbox,"Technical Support","Technical Escalation"
Dropbox,"Technical Support","Technical Support"
Email,"Non Case",Duplicate
Email,"Service Access","Account Escalation"
Email,"Service Access","Account Unlock"
Email,"Service Documentation and Assistance","Provided Assistance / Documentation"
Email,"Service Interruptions","Scheduled Maintenance"
Email,"Service Interruptions","Unscheduled Interruption"
Email,"Service Requests","Modify Service"
Email,"Service Requests","Remove Service"
Email,"Service Requests","Request Service"
Email,"Technical Support","Technical Escalation"
Email,"Technical Support","Technical Support"
Email,"Technical Support","Vendor Escalation"
"Emergency Communication","Non Case",Duplicate
"Emergency Communication","Service Access","Account Escalation"
"Emergency Communication","Service Access","Account Unlock"
"Emergency Communication","Service Documentation and Assistance","Provided Assistance / Documentation"
"Emergency Communication","Service Interruptions","Scheduled Maintenance"
"Emergency Communication","Service Interruptions","Unscheduled Interruption"
"Emergency Communication","Service Requests","Modify Service"
"Emergency Management","Service Requests","Remove Service"
"Emergency Management","Service Requests","Request Service"
"Emergency Management","Technical Support","Technical Escalation"
"Emergency Management","Technical Support","Vendor Escalation"
Gartner,"Non Case",Duplicate
Gartner,"Service Access","Account Escalation"
Gartner,"Service Access","Account Unlock"
Gartner,"Service Documentation and Assistance","Provided Assistance / Documentation"
Gartner,"Service Interruptions","Scheduled Maintenance"
Gartner,"Service Interruptions","Unscheduled Interruption"
Gartner,"Service Requests","Modify Service"
Gartner,"Service Requests","Remove Service"
Gartner,"Service Requests","Request Service"
iRads,"Non Case",Duplicate
iRads,"Service Access","Account Escalation"
iRads,"Service Documentation and Assistance","Provided Assistance / Documentation"
iRads,"Service Interruptions","Scheduled Maintenance"
iRads,"Service Interruptions","Unscheduled Interruption"
iRads,"Service Requests","Modify Service"
iRads,"Service Requests","Remove Service"
iRads,"Service Requests","Request Service"
"ITSM Tool","Non Case",Duplicate
"ITSM Tool","Service Access","Account Escalation"
"ITSM Tool","Service Documentation and Assistance","Provided Assistance / Documentation"
"ITSM Tool","Service Interruptions","Scheduled Maintenance"
"ITSM Tool","Service Interruptions","Unscheduled Interruption"
"ITSM Tool","Service Requests","Modify Service"
"ITSM Tool","Service Requests","Remove Service"
"ITSM Tool","Service Requests","Request Service"
"ITSM Tool","Technical Support","Technical Escalation"
"ITSM Tool","Technical Support","Technical Support"
"ITSM Tool","Technical Support","Vendor Escalation"
Laserfiche,"Non Case",Duplicate
Laserfiche,"Service Access","Account Escalation"
Laserfiche,"Service Access","Account Unlock"
Laserfiche,"Service Documentation and Assistance","Billing Inquiry"
Laserfiche,"Service Documentation and Assistance","Provided Assistance / Documentation"
Laserfiche,"Service Interruptions","Scheduled Maintenance"
Laserfiche,"Service Interruptions","Unscheduled Interruption"
Laserfiche,"Service Requests","Modify Service"
Laserfiche,"Service Requests","Remove Service"
Laserfiche,"Service Requests","Request Service"
Laserfiche,"Technical Support","Technical Escalation"
Laserfiche,"Technical Support","Technical Support"
Laserfiche,"Technical Support","Transfer to S2"
Laserfiche,"Technical Support","Vendor Escalation"
"Learning Management System","Non Case",Duplicate
"Learning Management System","Service Access","Account Escalation"
"Learning Management System","Service Access","Account Unlock"
"Learning Management System","Service Documentation and Assistance","Provided Assistance / Documentation"
"Learning Management System","Service Interruptions","Scheduled Maintenance"
"Learning Management System","Service Interruptions","Unscheduled Interruption"
"Learning Management System","Service Requests","Modify Service"
"Learning Management System","Service Requests","Remove Service"
"Learning Management System","Service Requests","Request Service"
"Learning Management System","Technical Support","Technical Escalation"
"Learning Management System","Technical Support","Technical Support"
"Learning Management System","Technical Support","Vendor Escalation"
Lynda,"Non Case",Duplicate
Lynda,"Service Access","Account Escalation"
Lynda,"Service Access","Account Unlock"
Lynda,"Service Documentation and Assistance","Provided Assistance / Documentation"
Lynda,"Service Interruptions","Scheduled Maintenance"
Lynda,"Service Interruptions","Unscheduled Interruption"
Lynda,"Technical Support","Technical Escalation"
Lynda,"Technical Support","Technical Support"
Lynda,"Technical Support","Vendor Escalation"
MyMedia,"Non Case",Duplicate
MyMedia,"Service Access","Account Escalation"
MyMedia,"Service Access","Account Unlock"
MyMedia,"Service Documentation and Assistance","Provided Assistance / Documentation"
MyMedia,"Service Interruptions","Scheduled Maintenance"
MyMedia,"Service Interruptions","Unscheduled Interruption"
MyMedia,"Service Requests","Modify Service"
MyMedia,"Service Requests","Remove Service"
MyMedia,"Service Requests","Request Service"
MyMedia,"Technical Support","Technical Escalation"
MyMedia,"Technical Support","Technical Support"
